<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;220223;000000;76.7671;76.7671;76.7671;76.7671;0
USDCB;D;220224;000000;80.4194;80.4194;80.4194;80.4194;0
USDCB;D;220226;000000;86.9288;86.9288;86.9288;86.9288;0
USDCB;D;220227;000000;83.5485;83.5485;83.5485;83.5485;0
USDCB;D;220302;000000;93.5589;93.5589;93.5589;93.5589;0
USDCB;D;220303;000000;91.7457;91.7457;91.7457;91.7457;0
USDCB;D;220304;000000;103.2487;103.2487;103.2487;103.2487;0
USDCB;D;220305;000000;111.7564;111.7564;111.7564;111.7564;0
USDCB;D;220306;000000;105.8124;105.8124;105.8124;105.8124;0
USDCB;D;220307;000000;105.8124;105.8124;105.8124;105.8124;0
USDCB;D;220311;000000;116.0847;116.0847;116.0847;116.0847;0
USDCB;D;220312;000000;120.3785;120.3785;120.3785;120.3785;0
USDCB;D;220313;000000;116.7517;116.7517;116.7517;116.7517;0
USDCB;D;220316;000000;115.1963;115.1963;115.1963;115.1963;0
USDCB;D;220317;000000;111.4823;111.4823;111.4823;111.4823;0
USDCB;D;220318;000000;108.0521;108.0521;108.0521;108.0521;0
USDCB;D;220319;000000;104.8012;104.8012;104.8012;104.8012;0
USDCB;D;220320;000000;103.9524;103.9524;103.9524;103.9524;0
USDCB;D;220323;000000;104.6819;104.6819;104.6819;104.6819;0
USDCB;D;220324;000000;104.0741;104.0741;104.0741;104.0741;0
USDCB;D;220325;000000;103.1618;103.1618;103.1618;103.1618;0
USDCB;D;220326;000000;96.0458;96.0458;96.0458;96.0458;0
USDCB;D;220327;000000;95.6618;95.6618;95.6618;95.6618;0
USDCB;D;220330;000000;93.7125;93.7125;93.7125;93.7125;0
USDCB;D;220331;000000;86.2843;86.2843;86.2843;86.2843;0
USDCB;D;220401;000000;84.0851;84.0851;84.0851;84.0851;0
USDCB;D;220402;000000;83.4097;83.4097;83.4097;83.4097;0
USDCB;D;220403;000000;83.4285;83.4285;83.4285;83.4285;0
USDCB;D;220406;000000;83.5932;83.5932;83.5932;83.5932;0
USDCB;D;220407;000000;83.352;83.352;83.352;83.352;0
USDCB;D;220408;000000;82.5962;82.5962;82.5962;82.5962;0
USDCB;D;220409;000000;76.2547;76.2547;76.2547;76.2547;0
USDCB;D;220410;000000;74.8501;74.8501;74.8501;74.8501;0
USDCB;D;220413;000000;79.1596;79.1596;79.1596;79.1596;0
USDCB;D;220414;000000;79.6274;79.6274;79.6274;79.6274;0
USDCB;D;220415;000000;79.8471;79.8471;79.8471;79.8471;0
USDCB;D;220416;000000;81.288;81.288;81.288;81.288;0
USDCB;D;220417;000000;80.0437;80.0437;80.0437;80.0437;0
USDCB;D;220420;000000;79.4529;79.4529;79.4529;79.4529;0
USDCB;D;220421;000000;79.0287;79.0287;79.0287;79.0287;0
USDCB;D;220422;000000;77.0809;77.0809;77.0809;77.0809;0
USDCB;D;220423;000000;74.999;74.999;74.999;74.999;0
USDCB;D;220424;000000;73.505;73.505;73.505;73.505;0
USDCB;D;220427;000000;73.3611;73.3611;73.3611;73.3611;0
USDCB;D;220428;000000;72.7089;72.7089;72.7089;72.7089;0
USDCB;D;220429;000000;72.8764;72.8764;72.8764;72.8764;0
USDCB;D;220430;000000;72.2953;72.2953;72.2953;72.2953;0
USDCB;D;220501;000000;71.0237;71.0237;71.0237;71.0237;0
USDCB;D;220506;000000;69.416;69.416;69.416;69.416;0
USDCB;D;220507;000000;66.2378;66.2378;66.2378;66.2378;0
USDCB;D;220508;000000;67.3843;67.3843;67.3843;67.3843;0
USDCB;D;220513;000000;68.8389;68.8389;68.8389;68.8389;0
USDCB;D;220514;000000;65.7916;65.7916;65.7916;65.7916;0
USDCB;D;220515;000000;63.7799;63.7799;63.7799;63.7799;0
USDCB;D;220518;000000;63.4445;63.4445;63.4445;63.4445;0
USDCB;D;220519;000000;63.5428;63.5428;63.5428;63.5428;0
USDCB;D;220520;000000;63.5643;63.5643;63.5643;63.5643;0
